"","dateTime","spotID","readingType","lat","long","NA","NA"
"2764","9/24/2016 13:36","0-2572498","UNLIMITED-TRACK",34.05434,-121.04814,NA,""
"2779","9/24/2016 13:06","0-2572498","UNLIMITED-TRACK",34.05217,-121.05157,NA,""
"2795","9/24/2016 12:36","0-2572498","UNLIMITED-TRACK",34.05004,-121.05461,NA,""
"2810","9/24/2016 12:06","0-2572498","UNLIMITED-TRACK",34.04781,-121.05766,NA,""
"2826","9/24/2016 11:36","0-2572498","UNLIMITED-TRACK",34.04554,-121.06058,NA,""
"2840","9/24/2016 11:06","0-2572498","UNLIMITED-TRACK",34.04296,-121.06325,NA,""
"2854","9/24/2016 10:37","0-2572498","UNLIMITED-TRACK",34.04111,-121.06558,NA,""
"2871","9/24/2016 10:06","0-2572498","UNLIMITED-TRACK",34.03934,-121.06819,NA,""
"2887","9/24/2016 09:37","0-2572498","UNLIMITED-TRACK",34.03772,-121.07077,NA,""
"2900","9/24/2016 09:07","0-2572498","UNLIMITED-TRACK",34.03622,-121.0733,NA,""
"2913","9/24/2016 08:40","0-2572498","UNLIMITED-TRACK",34.035,-121.07568,NA,""
