27.255,27.302,27.413,27.445,27.49,27.56,28.037,27.974,27.886,27.774,27.483,27.349,27.242,27.16,27.453,27.452,27.516,27.623,27.914,27.397,27.43,27.492,27.549,27.549,27.514,27.493,27.493,27.493,27.493,27.493
28.244,28.29,28.396,28.426,28.47,28.537,28.995,28.935,28.85,28.742,28.463,28.335,28.232,28.153,28.435,28.433,28.495,28.598,28.877,28.381,28.412,28.472,28.527,28.527,28.493,28.472,28.472,28.472,28.472,28.472
29.234,29.278,29.38,29.409,29.451,29.516,29.956,29.898,29.817,29.713,29.445,29.321,29.222,29.147,29.417,29.416,29.475,29.574,29.843,29.365,29.396,29.453,29.506,29.506,29.473,29.454,29.454,29.454,29.454,29.454
30.225,30.267,30.365,30.393,30.434,30.496,30.919,30.864,30.785,30.685,30.427,30.308,30.214,30.141,30.401,30.4,30.456,30.552,30.81,30.351,30.38,30.435,30.486,30.486,30.455,30.436,30.436,30.436,30.436,30.436
31.216,31.257,31.351,31.378,31.417,31.476,31.884,31.831,31.755,31.659,31.411,31.296,31.205,31.136,31.385,31.384,31.439,31.53,31.779,31.337,31.366,31.418,31.467,31.467,31.437,31.419,31.419,31.419,31.419,31.419
32.208,32.247,32.337,32.364,32.401,32.458,32.851,32.8,32.727,32.634,32.395,32.285,32.198,32.131,32.371,32.37,32.422,32.51,32.75,32.325,32.352,32.402,32.45,32.45,32.421,32.403,32.403,32.403,32.403,32.403
33.2,33.238,33.325,33.35,33.386,33.441,33.82,33.77,33.7,33.611,33.381,33.275,33.19,33.126,33.357,33.356,33.406,33.491,33.722,33.313,33.339,33.387,33.433,33.433,33.405,33.388,33.388,33.388,33.388,33.388
34.193,34.229,34.313,34.337,34.372,34.425,34.79,34.742,34.674,34.588,34.367,34.264,34.183,34.121,34.344,34.343,34.391,34.473,34.696,34.301,34.326,34.373,34.417,34.417,34.39,34.374,34.374,34.374,34.374,34.374
35.186,35.221,35.301,35.325,35.359,35.41,35.762,35.715,35.65,35.567,35.353,35.255,35.176,35.117,35.331,35.33,35.377,35.456,35.671,35.29,35.314,35.36,35.402,35.402,35.376,35.36,35.36,35.36,35.36,35.36
36.179,36.213,36.291,36.313,36.346,36.395,36.735,36.69,36.627,36.547,36.341,36.246,36.17,36.112,36.319,36.318,36.364,36.44,36.647,36.28,36.303,36.347,36.387,36.387,36.362,36.347,36.347,36.347,36.347,36.347
37.173,37.205,37.28,37.302,37.333,37.381,37.709,37.666,37.605,37.527,37.328,37.237,37.164,37.108,37.308,37.307,37.351,37.424,37.624,37.27,37.292,37.334,37.374,37.374,37.35,37.335,37.335,37.335,37.335,37.335
38.167,38.198,38.27,38.292,38.322,38.368,38.684,38.643,38.584,38.509,38.317,38.229,38.158,38.105,38.297,38.296,38.338,38.41,38.602,38.26,38.282,38.323,38.361,38.361,38.337,38.323,38.323,38.323,38.323,38.323
